x,y
0.000000000000000000e+00,9.454080167696431447e-01
6.283185307179586787e-02,1.048419071019323079e+00
1.256637061435917357e-01,1.038394086669255367e+00
1.884955592153876036e-01,1.223822404869675307e+00
2.513274122871834715e-01,9.446743726464024160e-01
3.141592653589793116e-01,9.513137308141053072e-01
3.769911184307752072e-01,1.144069404617660268e+00
4.398229715025711029e-01,1.385342949066422635e+00
5.026548245743669430e-01,1.186460712121773176e+00
5.654866776461627831e-01,1.112582835676636961e+00
6.283185307179586232e-01,9.535720923160588836e-01
6.911503837897545743e-01,8.039599456743673489e-01
7.539822368615504145e-01,1.096341795177510292e+00
8.168140899333462546e-01,6.626022508402519273e-01
8.796459430051422057e-01,6.689496550144755638e-01
9.424777960769380458e-01,7.978967096967861661e-01
1.005309649148733886e+00,2.956968264808073621e-01
1.068141502220529837e+00,3.099280728103776528e-01
1.130973355292325566e+00,3.172407192971454792e-01
1.193805208364121517e+00,6.277680211397612675e-02
1.256637061435917246e+00,5.295752758790596149e-01
1.319468914507713198e+00,8.198807568393043366e-02
1.382300767579509149e+00,4.038397456379380634e-01
1.445132620651304878e+00,2.127330602939475623e-01
1.507964473723100829e+00,-1.070729902521059262e-01
1.570796326794896780e+00,3.274873253965326914e-01
1.633628179866692509e+00,3.145966985868856591e-01
1.696460032938488460e+00,5.940964340655267850e-02
1.759291886010284411e+00,-4.298896557789344541e-02
1.822123739082080141e+00,-1.919480655048107220e-02
1.884955592153876092e+00,5.734981586145923571e-02
1.947787445225671821e+00,3.718784463461671796e-01
2.010619298297467772e+00,1.975095508406324585e-01
2.073451151369263723e+00,2.301631793372640455e-01
2.136283004441059674e+00,3.866783939455121777e-01
2.199114857512855181e+00,5.805179422996999961e-01
2.261946710584651132e+00,6.624942078926312483e-01
2.324778563656447083e+00,5.222947683586012246e-01
2.387610416728243035e+00,3.620954772960229828e-01
2.450442269800038986e+00,6.770157103049094793e-01
2.513274122871834493e+00,9.463387274061292320e-01
2.576105975943630444e+00,1.044216693400609408e+00
2.638937829015426395e+00,1.191163035045717855e+00
2.701769682087222346e+00,7.903481535805152447e-01
2.764601535159018297e+00,1.194993900943059018e+00
2.827433388230814248e+00,1.080850475498475571e+00
2.890265241302609756e+00,1.145815167440743743e+00
2.953097094374405707e+00,1.112056551467136556e+00
3.015928947446201658e+00,1.004571545527156440e+00
3.078760800517997609e+00,1.011941284752561954e+00
3.141592653589793560e+00,1.137743350267717668e+00
3.204424506661589067e+00,6.522244888526562701e-01
3.267256359733385018e+00,9.706275057728358524e-01
3.330088212805180969e+00,1.020993309950014361e+00
3.392920065876976921e+00,4.646033655187102873e-01
3.455751918948772872e+00,5.686951349421016655e-01
3.518583772020568823e+00,3.525908767340085737e-01
3.581415625092364330e+00,2.834659859696989637e-01
3.644247478164160281e+00,3.089132642031532372e-01
3.707079331235956232e+00,-1.295259165300969573e-01
3.769911184307752183e+00,-4.163765171912697793e-01
3.832743037379548134e+00,-1.183512121505227999e-01
3.895574890451343641e+00,-4.291083160089711468e-01
3.958406743523139593e+00,-7.571822293408537741e-01
4.021238596594935544e+00,-1.118954137376019231e+00
4.084070449666731051e+00,-1.240545031502659157e+00
4.146902302738527446e+00,-9.424640328560223157e-01
4.209734155810322953e+00,-1.391461853723534148e+00
4.272566008882119348e+00,-1.991832677115483063e+00
4.335397861953914855e+00,-1.649211690459772228e+00
4.398229715025710362e+00,-2.021812134940501604e+00
4.461061568097506758e+00,-1.649585340040627734e+00
4.523893421169302265e+00,-2.171045208810924887e+00
4.586725274241098660e+00,-1.698274085551330304e+00
4.649557127312894167e+00,-2.011918518376161646e+00
4.712388980384689674e+00,-1.653024265770539625e+00
4.775220833456486069e+00,-1.947420904621220306e+00
4.838052686528281576e+00,-2.186822972342536975e+00
4.900884539600077971e+00,-2.039083528404203705e+00
4.963716392671873479e+00,-2.228243845018689662e+00
5.026548245743668986e+00,-1.960135524973125820e+00
5.089380098815465381e+00,-2.138591646371422073e+00
5.152211951887260888e+00,-1.577149001399920980e+00
5.215043804959057283e+00,-1.698123180203634286e+00
5.277875658030852790e+00,-1.007707461297217888e+00
5.340707511102649185e+00,-7.063815729033953161e-01
5.403539364174444692e+00,-8.833135850738883521e-01
5.466371217246240199e+00,-9.033927789163338495e-01
5.529203070318036595e+00,-5.923561509190548025e-01
5.592034923389832102e+00,-4.570841196002941031e-01
5.654866776461628497e+00,-4.735938323586400545e-01
5.717698629533424004e+00,-6.253081415211655392e-01
5.780530482605219511e+00,-8.480259122744571165e-02
5.843362335677015906e+00,5.759953891128380965e-01
5.906194188748811413e+00,5.164230859029272924e-01
5.969026041820607809e+00,2.836184419216383201e-01
6.031857894892403316e+00,1.203644011041100192e+00
6.094689747964198823e+00,5.851984948907343886e-01
6.157521601035995218e+00,1.050982038025187970e+00
6.220353454107790725e+00,1.378349988005987736e+00
6.283185307179587120e+00,1.070620163023344951e+00
6.346017160251382627e+00,1.293949983929097103e+00
6.408849013323178134e+00,1.277839545125380560e+00
6.471680866394974529e+00,1.297866819624829748e+00
6.534512719466770037e+00,9.470779223653679191e-01
6.597344572538566432e+00,9.607504130005448673e-01
6.660176425610361939e+00,1.114716190826284370e+00
6.723008278682157446e+00,8.824931164329727906e-01
6.785840131753953841e+00,9.019334744042899477e-01
6.848671984825749348e+00,8.946816004785206333e-01
6.911503837897545743e+00,7.592506894401794826e-01
6.974335690969341250e+00,8.844019758993604263e-01
7.037167544041137646e+00,6.053513485033530372e-01
7.099999397112933153e+00,9.443128833643527065e-01
7.162831250184728660e+00,5.561959119669047658e-01
7.225663103256525055e+00,2.552550923031544627e-01
7.288494956328320562e+00,4.009442201080834489e-01
7.351326809400116957e+00,2.539624542904694859e-01
7.414158662471912464e+00,-5.319215907736646320e-02
7.476990515543707971e+00,2.998325774115812026e-01
7.539822368615504367e+00,3.833816621242438494e-01
7.602654221687299874e+00,1.058417373525105676e-01
7.665486074759096269e+00,2.101751949098856764e-01
7.728317927830891776e+00,-9.116987586607937233e-02
7.791149780902687283e+00,2.113348332418436837e-01
7.853981633974483678e+00,2.185332201663153784e-01
7.916813487046279185e+00,3.512887919897798861e-02
7.979645340118075580e+00,-3.852123722609096523e-03
8.042477193189871087e+00,-1.516028183490351067e-01
8.105309046261666595e+00,4.409480298205206705e-02
8.168140899333462102e+00,1.688170943209125752e-01
8.230972752405259385e+00,3.642210386922192233e-01
8.293804605477054892e+00,2.829398096405967289e-01
8.356636458548850399e+00,8.028925047534537507e-01
8.419468311620645906e+00,1.915432031487292464e-01
8.482300164692441413e+00,3.890505105853340750e-01
8.545132017764238697e+00,7.122227111966826785e-01
8.607963870836034204e+00,5.163286397734219157e-01
8.670795723907829711e+00,6.369651354911487484e-01
8.733627576979625218e+00,9.761296492897590937e-01
8.796459430051420725e+00,9.527590313096384600e-01
8.859291283123218008e+00,8.833682349747622453e-01
8.922123136195013515e+00,9.798389214830579563e-01
8.984954989266809022e+00,8.587439119177222580e-01
9.047786842338604529e+00,9.908251347849893476e-01
9.110618695410400036e+00,1.139025663835653068e+00
9.173450548482197320e+00,9.949807946679430914e-01
9.236282401553992827e+00,1.133975971717273046e+00
9.299114254625788334e+00,1.152577816726525706e+00
9.361946107697583841e+00,9.543315317756529970e-01
9.424777960769379348e+00,9.481426329702680178e-01
9.487609813841176631e+00,9.616708508460541927e-01
9.550441666912972138e+00,8.207321846949480193e-01
9.613273519984767645e+00,9.359485972072719706e-01
9.676105373056563153e+00,3.563656699578257592e-01
9.738937226128358660e+00,7.601420531715779028e-01
9.801769079200155943e+00,4.606560478226650046e-01
9.864600932271951450e+00,9.896720327415653440e-02
9.927432785343746957e+00,1.293185014400919652e-01
9.990264638415542464e+00,1.932684221039948635e-01
1.005309649148733797e+01,-2.585134917024118906e-01
1.011592834455913525e+01,-1.084255370884066538e+00
1.017876019763093076e+01,-4.842120993132619233e-01
1.024159205070272627e+01,-1.041675726692921300e+00
1.030442390377452178e+01,-8.837710014252134760e-01
1.036725575684631906e+01,-9.407152502171123309e-01
1.043008760991811457e+01,-1.180438694283794776e+00
1.049291946298991007e+01,-1.240283190595649732e+00
1.055575131606170558e+01,-1.335029560980838026e+00
1.061858316913350109e+01,-1.922964585062044485e+00
1.068141502220529837e+01,-1.725710001430862173e+00
1.074424687527709388e+01,-2.315840989916989390e+00
1.080707872834888938e+01,-2.004736676227476533e+00
1.086991058142068489e+01,-1.897486591507568932e+00
1.093274243449248040e+01,-2.125562514142176784e+00
1.099557428756427768e+01,-2.156845471584180274e+00
1.105840614063607319e+01,-2.157444692148417165e+00
1.112123799370786870e+01,-2.181280174140154404e+00
1.118406984677966420e+01,-1.843001044593556070e+00
1.124690169985145971e+01,-2.086408828470883048e+00
1.130973355292325699e+01,-1.853270527652983946e+00
1.137256540599505250e+01,-1.272304811115472667e+00
1.143539725906684801e+01,-1.594936411114379560e+00
1.149822911213864352e+01,-1.384083572953038077e+00
1.156106096521043902e+01,-9.901619725730959054e-01
1.162389281828223631e+01,-1.036872246631732386e+00
1.168672467135403181e+01,-1.287429803145231144e+00
1.174955652442582732e+01,-1.106796162046058463e+00
1.181238837749762283e+01,-6.539983413107391952e-01
1.187522023056941833e+01,-3.379985384639330737e-01
1.193805208364121562e+01,-4.990108377923676564e-01
1.200088393671301112e+01,-2.579567314878588036e-01
1.206371578978480663e+01,-6.689182971870870353e-03
1.212654764285660214e+01,-2.175441893981382990e-01
1.218937949592839765e+01,-4.750672775626746391e-02
1.225221134900019493e+01,6.151421980008744406e-01
1.231504320207199044e+01,4.826869117105735962e-01
1.237787505514378594e+01,7.370932519949701112e-01
1.244070690821558145e+01,1.074803371506577232e+00
1.250353876128737696e+01,1.092293507433922173e+00
1.256637061435917246e+01,9.777663243771135271e-01
