x,y,z
-1.000000000000000000e+01,-1.000000000000000000e+01,-2.000000000000000000e+02
-9.591836734693877986e+00,-1.000000000000000000e+01,-1.841732611411912046e+02
-9.183673469387755972e+00,-1.000000000000000000e+01,-1.693461057892545227e+02
-8.775510204081632182e+00,-1.000000000000000000e+01,-1.555185339441899259e+02
-8.367346938775510168e+00,-1.000000000000000000e+01,-1.426905456059974711e+02
-7.959183673469388154e+00,-1.000000000000000000e+01,-1.308621407746772434e+02
-7.551020408163265252e+00,-1.000000000000000000e+01,-1.200333194502291008e+02
-7.142857142857142350e+00,-1.000000000000000000e+01,-1.102040816326530717e+02
-6.734693877551020336e+00,-1.000000000000000000e+01,-1.013744273219491561e+02
-6.326530612244898322e+00,-1.000000000000000000e+01,-9.354435651811745345e+01
-5.918367346938775420e+00,-1.000000000000000000e+01,-8.671386922115783591e+01
-5.510204081632652517e+00,-1.000000000000000000e+01,-8.088296543107040293e+01
-5.102040816326530503e+00,-1.000000000000000000e+01,-7.605164514785505503e+01
-4.693877551020408490e+00,-1.000000000000000000e+01,-7.221990837151187748e+01
-4.285714285714285587e+00,-1.000000000000000000e+01,-6.938775510204079922e+01
-3.877551020408162685e+00,-1.000000000000000000e+01,-6.755518533944189130e+01
-3.469387755102040671e+00,-1.000000000000000000e+01,-6.672219908371511110e+01
-3.061224489795918657e+00,-1.000000000000000000e+01,-6.688879633486047283e+01
-2.653061224489795755e+00,-1.000000000000000000e+01,-6.805497709287796226e+01
-2.244897959183672853e+00,-1.000000000000000000e+01,-7.022074135776759363e+01
-1.836734693877550839e+00,-1.000000000000000000e+01,-7.338608912952935270e+01
-1.428571428571428825e+00,-1.000000000000000000e+01,-7.755102040816325371e+01
-1.020408163265305035e+00,-1.000000000000000000e+01,-8.271553519366932505e+01
-6.122448979591830209e-01,-1.000000000000000000e+01,-8.887963348604749569e+01
-2.040816326530610070e-01,-1.000000000000000000e+01,-9.604331528529779405e+01
2.040816326530610070e-01,-1.000000000000000000e+01,-1.042065805914202343e+02
6.122448979591830209e-01,-1.000000000000000000e+01,-1.133694294044148165e+02
1.020408163265306811e+00,-1.000000000000000000e+01,-1.235318617242815549e+02
1.428571428571428825e+00,-1.000000000000000000e+01,-1.346938775510204209e+02
1.836734693877550839e+00,-1.000000000000000000e+01,-1.468554768846314005e+02
2.244897959183674629e+00,-1.000000000000000000e+01,-1.600166597251145788e+02
2.653061224489796643e+00,-1.000000000000000000e+01,-1.741774260724698138e+02
3.061224489795918657e+00,-1.000000000000000000e+01,-1.893377759266972191e+02
3.469387755102040671e+00,-1.000000000000000000e+01,-2.054977092877967380e+02
3.877551020408162685e+00,-1.000000000000000000e+01,-2.226572261557683987e+02
4.285714285714286476e+00,-1.000000000000000000e+01,-2.408163265306122867e+02
4.693877551020408490e+00,-1.000000000000000000e+01,-2.599750104123281744e+02
5.102040816326530503e+00,-1.000000000000000000e+01,-2.801332778009162894e+02
5.510204081632654294e+00,-1.000000000000000000e+01,-3.012911286963765747e+02
5.918367346938776308e+00,-1.000000000000000000e+01,-3.234485630987089166e+02
6.326530612244898322e+00,-1.000000000000000000e+01,-3.466055810079133721e+02
6.734693877551020336e+00,-1.000000000000000000e+01,-3.707621824239899979e+02
7.142857142857142350e+00,-1.000000000000000000e+01,-3.959183673469387372e+02
7.551020408163264364e+00,-1.000000000000000000e+01,-4.220741357767596469e+02
7.959183673469389930e+00,-1.000000000000000000e+01,-4.492294877134528406e+02
8.367346938775511944e+00,-1.000000000000000000e+01,-4.773844231570180341e+02
8.775510204081633958e+00,-1.000000000000000000e+01,-5.065389421074553411e+02
9.183673469387755972e+00,-1.000000000000000000e+01,-5.366930445647647048e+02
9.591836734693877986e+00,-1.000000000000000000e+01,-5.678467305289462956e+02
1.000000000000000000e+01,-1.000000000000000000e+01,-6.000000000000000000e+02
-1.000000000000000000e+01,-9.591836734693877986e+00,-2.001665972511453617e+02
-9.591836734693877986e+00,-9.591836734693877986e+00,-1.840066638900458429e+02
-9.183673469387755972e+00,-9.591836734693877986e+00,-1.688463140358184091e+02
-8.775510204081632182e+00,-9.591836734693877986e+00,-1.546855476884630889e+02
-8.367346938775510168e+00,-9.591836734693877986e+00,-1.415243648479799958e+02
-7.959183673469388154e+00,-9.591836734693877986e+00,-1.293627655143689879e+02
-7.551020408163265252e+00,-9.591836734693877986e+00,-1.182007496876301218e+02
-7.142857142857142350e+00,-9.591836734693877986e+00,-1.080383173677634261e+02
-6.734693877551020336e+00,-9.591836734693877986e+00,-9.887546855476884389e+01
-6.326530612244898322e+00,-9.591836734693877986e+00,-9.071220324864640361e+01
-5.918367346938775420e+00,-9.591836734693877986e+00,-8.354852144939607683e+01
-5.510204081632652517e+00,-9.591836734693877986e+00,-7.738442315701792040e+01
-5.102040816326530503e+00,-9.591836734693877986e+00,-7.221990837151186327e+01
-4.693877551020408490e+00,-9.591836734693877986e+00,-6.805497709287797647e+01
-4.285714285714285587e+00,-9.591836734693877986e+00,-6.488962932111618898e+01
-3.877551020408162685e+00,-9.591836734693877986e+00,-6.272386505622657182e+01
-3.469387755102040671e+00,-9.591836734693877986e+00,-6.155768429820908239e+01
-3.061224489795918657e+00,-9.591836734693877986e+00,-6.139108704706373487e+01
-2.653061224489795755e+00,-9.591836734693877986e+00,-6.222407330279051507e+01
-2.244897959183672853e+00,-9.591836734693877986e+00,-6.405664306538943720e+01
-1.836734693877550839e+00,-9.591836734693877986e+00,-6.688879633486048704e+01
-1.428571428571428825e+00,-9.591836734693877986e+00,-7.072053311120367880e+01
-1.020408163265305035e+00,-9.591836734693877986e+00,-7.555185339441902670e+01
-6.122448979591830209e-01,-9.591836734693877986e+00,-8.138275718450648810e+01
-2.040816326530610070e-01,-9.591836734693877986e+00,-8.821324448146607722e+01
2.040816326530610070e-01,-9.591836734693877986e+00,-9.604331528529779405e+01
6.122448979591830209e-01,-9.591836734693877986e+00,-1.048729695960016670e+02
1.020408163265306811e+00,-9.591836734693877986e+00,-1.147022074135776961e+02
1.428571428571428825e+00,-9.591836734693877986e+00,-1.255310287380258387e+02
1.836734693877550839e+00,-9.591836734693877986e+00,-1.373594335693460948e+02
2.244897959183674629e+00,-9.591836734693877986e+00,-1.501874219075385781e+02
2.653061224489796643e+00,-9.591836734693877986e+00,-1.640149937526031181e+02
3.061224489795918657e+00,-9.591836734693877986e+00,-1.788421491045398000e+02
3.469387755102040671e+00,-9.591836734693877986e+00,-1.946688879633485953e+02
3.877551020408162685e+00,-9.591836734693877986e+00,-2.114952103290295611e+02
4.285714285714286476e+00,-9.591836734693877986e+00,-2.293211162015827540e+02
4.693877551020408490e+00,-9.591836734693877986e+00,-2.481466055810079467e+02
5.102040816326530503e+00,-9.591836734693877986e+00,-2.679716784673053098e+02
5.510204081632654294e+00,-9.591836734693877986e+00,-2.887963348604748717e+02
5.918367346938776308e+00,-9.591836734693877986e+00,-3.106205747605164902e+02
6.326530612244898322e+00,-9.591836734693877986e+00,-3.334443981674302790e+02
6.734693877551020336e+00,-9.591836734693877986e+00,-3.572678050812161246e+02
7.142857142857142350e+00,-9.591836734693877986e+00,-3.820907955018742541e+02
7.551020408163264364e+00,-9.591836734693877986e+00,-4.079133694294043835e+02
7.959183673469389930e+00,-9.591836734693877986e+00,-4.347355268638069106e+02
8.367346938775511944e+00,-9.591836734693877986e+00,-4.625572678050813238e+02
8.775510204081633958e+00,-9.591836734693877986e+00,-4.913785922532279073e+02
9.183673469387755972e+00,-9.591836734693877986e+00,-5.211995002082466044e+02
9.591836734693877986e+00,-9.591836734693877986e+00,-5.520199916701375287e+02
1.000000000000000000e+01,-9.591836734693877986e+00,-5.838400666389004527e+02
-1.000000000000000000e+01,-9.183673469387755972e+00,-2.006663890045813901e+02
